분야,대제목,한줄소개,사전모집여부,참여대상,소요시간,체험기간,체험시간,이미지파일
이차전지,[이차전지 컨소시엄] 교육 프로그램(다면형 실감콘텐츠 영상 체험 및 VR 영상 체험),"미래 에너지 중심, 이차전지를 '직접 보고, 느끼고, 체험하다!'",현장접수,누구나,15,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_secondary.png
인공지능,AI를 활용한 명화속 몰입체험,AI를 활용한 명화속 몰입체험,현장접수,중학생 이상,5,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_ai.png
이차전지,보조배터리 제작 체험(보조배터리 만들어봤어? 안 만들어 봤으면 말을 하지마!),실제 제작 체험을 통해 배터리 제작 과정을 한눈에 알아볼 수 있습니다.,현장접수,누구나,60,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_secondary.png
인공지능,AI를 활용한 캐리커쳐 체험,AI를 활용한 캐리커쳐 체험,현장접수,중학생 이상,5,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_ai.png
미래자동차,미래자동차 CO-SHOW 자율주행 체험,자율주행 자동차 모형을 조립·채색하고 트랙에서 주행까지 즐겨볼 수 있는 COSS SHOW 자율주행 체험 프로그램,현장접수,누구나,60,2025-11-29 ~ 2025-11-29,10:00 ~ 17:00,Booth_future.png
빅데이터,"나의 왕자님, 공주님을 찾아라!",이상형과 관련된 단어만 알려줘! 내가 이상형을 그려줄게!,현장접수,누구나,10,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_bigData.png
바이오헬스,웨어러블 보행 보조 로봇 : 보행 로봇 체험존,"로봇 재활기기(보행 보조 로봇, Botfit)를 착용·체험하며 보행 원리와 기술적 변화를 이해",현장접수,초등학생 이상,10,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,Booth_bioHealth.png
바이오헬스,장애인을 위한 디지털 치료제 : e 스포츠 휠체어 레이싱 체험존,휠체어와 게임이 만드는 새로운 경험과 가능성,현장접수,초등학생 이상,5,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,Booth_bioHealth.png
바이오헬스,"휴먼아나토미 아트랩 : 바디페인팅, XR해부학체험",바디페인팅으로 경험하는 인체 예술과 아나토마지 테이블로 구현된 정밀 3D 인체 시각화,현장접수,초등학생 이상,15,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,Booth_bioHealth.png
빅데이터,Scent Memory,나의 취향을 입력하면 데이터가 향수 레시피를 추천해준다구?!,현장접수,누구나,5,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_bigData.png
빅데이터,기택이의 대모험,"오류 속에 숨은 진실, 기택이와 데이터 디버깅 체험",현장접수,누구나,10,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_bigData.png
빅데이터,나는 누구일까?,"빅데이터가 랜덤키워드 5개를 줄게, 정답은 누가 맞출래?",현장접수,누구나,10,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_bigData.png
첨단소재나노융합,3D펜으로 만드는 첨단소재 창의공작소,"3D 펜으로 이름표 키링, 책갈피 등 간단한 물체를 직접 제작하며 기초 3D 메이킹을 익히는 초간단 체험 프로그램",현장접수,누구나,20,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_nano.png
빅데이터,빅데이터 어워즈,빅데이터 컨소시엄 학생들이 만든 우수 성과 공유,현장접수,누구나,5,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_bigData.png
차세대디스플레이,반짝반짝 스튜디오 : 반짝반짝 작은LED,"작은 LED로 반짝이는 나만의 라이트템을 만들어봐요! 손으로 톡톡, 빛이 켜질 거예요!",현장접수,누구나,10,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_chasedaeDisplay.png
차세대디스플레이,"네모의방, 디스플레이의 꿈 : 마음을 비추는 창문",당신의 감정이 장면이 됩니다.,현장접수,누구나,10,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_chasedaeDisplay.png
차세대디스플레이,차세대디스플레이 FAB : 디스플레이 공정속으로,디스플레이 공정 속으로 쏙! 나도 이제 패널 장인~!,현장접수,누구나,10,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_chasedaeDisplay.png
차세대디스플레이,티프레임 스냅샷 : 테이크어샷 포토슛 팝팝팝!,"투명한 T-OLED 액자 안에서 멋진 인생샷을 찍을 수 있어요! 준비됐나요? 하나, 둘, 팝팝팝!",현장접수,누구나,5,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_chasedaeDisplay.png
데이터보안활용융합,Drone Under Attack: 하늘 위의 드론 위협,하늘 위에서 벌어지는 사이버 위협의 실체를 직접 체험해보세요!,현장접수,고등학생 이상,15,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_data.png
사물인터넷,"센서가 듣고, AI가 생각한다","센서가 내 목소리와 심장 소리를 읽고, AI가 판단하면 로봇이 곧바로 움직인다. 센서와 AI가 만드는 연결된 세상의 실험실.",현장접수,누구나,5,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_iot.png
실감미디어,꿈의 학교 속으로! 메타버스 캠퍼스 & 콘텐츠 여행 (실감미디어 메타버스 플랫폼 투어),꿈의 학교 속으로! 메타버스 캠퍼스 & 콘텐츠 여행,현장접수,초등학생(고학년)이상,10,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_media.png
사물인터넷,스마트양식 디지털 트윈 체험: 모바일 로봇과 수질센서를 활용한 자율 환경 관리,모바일 로봇과 수질센서를 활용한 자율 환경 관리 체험,현장접수,중학생 이상,10,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_iot.png
실감미디어,톡톡 튀는 콘텐츠! 실감 팡팡 체험존 (실감미디어 경진대회 우수작품 체험),실감미디어 학생들의 독창성 있는 우수 작품들을 직접 체험,현장접수,초등학생(고학년)이상,10,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_media.png
실감미디어,진짜처럼 짜릿! 햅틱 손맛 체험존 (VR 기반의 햅틱 디바이스 체험),햅틱 디바이스(장갑)를 이용한 요리 및 가야금 체험,현장접수,초등학생(고학년)이상,10,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_media.png
그린바이오,Space Green 우주 농부 인증 미션을 위한 탑승을 시작합니다!,"애그테크(Ag-Tech)가 접목된 우주 수직농장부터 스마트 온실, 노지 수확까지 체험하고 우주 농부 인증을 받아보세요.",현장접수,초등학생 이상,25,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_greenBio.png
차세대통신,인공위성 통신 체험관,인공위성 발사부터 통신까지! 위성 통신 체험하기!,현장접수,초등학생 이상,15,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_chasedaecom.png
항공드론,블록코딩을 활용한 드론제어,블록코딩을 활용한 드론 실습 및 체험교육,현장접수,초등학생(고학년)이상,90,2025-11-26 ~ 2025-11-29,10:00 ~ 17:30,Booth_aviation.png
항공드론,UAM 조종 시뮬레이터 체험,UAM 조종법 교육 및 시뮬레이터 탑승 조종 체험,현장접수,초등학생(고학년)이상,30,2025-11-26 ~ 2025-11-29,10:00 ~ 17:30,Booth_aviation.png
항공드론,드론 장애물 경주 체험,드론 볼을 수동으로 조종하여 다양한 미션을 수행하는 체험 프로그램,현장접수,초등학생(고학년)이상,30,2025-11-28 ~ 2025-11-29,10:00 ~ 17:30,Booth_aviation.png
사물인터넷,공감 조명: 오늘 너의 색은?,음성으로 기분을 말하면 전구 색상이 변하는 AI 체험,현장접수,누구나,5,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_media.png
미래자동차,AWS DeepRacer 자율주행 체험,"미래자동차 자율주행 AI VS 인간, 운전 대결 승자는??!!",현장접수,초등학생(고학년)이상,5,2025-11-26 ~ 2025-11-29,10:00 ~ 17:30,Booth_future.png
데이터보안활용융합,"탈출하라, 사이버 보안 위기속 탈출기",주변에 주어진 단서를 조합하여 사이버 위기 속 위험을 탈출하는 방탈출 게임!,현장접수,중학생 이상,30,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_data.png
차세대반도체,"어서와, 반도체 회로제작은 처음이지?",반도체 회로 기초부터 실물 제작까지!  차세대반도체 혁신융합대학과 함께 직접 게임기 반도체 회로를 만들어보자!,현장접수,초등학생(고학년)이상,30,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,Booth_chasedaesemiconductor.png
데이터보안활용융합,"스마트홈 캠 해킹, 누군가 지켜보고 있다.",스마트홈 해킹 시연을 통해 사생활 침해의 실체를 확인하세요,현장접수,초등학생 이상,10,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_data.png
데이터보안활용융합,해킹이 부른 의료 사고,"실제 의료기기 해킹 시연을 통해, 사이버 공격이 환자 생명에 미치는 치명적 위험을 직접 확인하세요!",현장접수,중학생 이상,10,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_data.png
데이터보안활용융합,우리의 친절한 로봇의 반란,"해커의 손에 넘어가 멈추고 조작되는 순간, 로봇 해킹의 실체를 직접 체험하세요!",현장접수,중학생 이상,15,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_data.png
데이터보안활용융합,AI가 만든 가짜를 잡아라,"숨은 단서를 찾아, AI가 만든 가짜와 사람의 진짜를 구분하는 재미를 느껴부세요!",현장접수,초등학생 이상,10,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_data.png
반도체소부장,반도체를 분해해보자,"반도체를 만드는 장비 내부를 보고, 뜯고, 조립해보는 VR 체험",현장접수,누구나,30,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,Booth_semiconductor.png
에코업,방탈출 프로그램 '교수님의 수상한 과제',미래 혁신 인재 필수 코스!  '에코업 6대 과제' 속 환경 위기를 직접 해결하는 방탈출 프로그램,현장접수,누구나,20,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,Booth_eco.png
에코업,LED로 그리는 탄소중립,탄소배출을 줄이는  나만의 LED 아크릴 조명을 만들어보자!,현장접수,초등학생(고학년)이상,20,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,Booth_eco.png
에코업,우리집 알뜰에너지 연구소,우리집 전기 도둑을 검거해보자! 가전제품 대기전력 측정 프로그램,현장접수,누구나,10,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,Booth_eco.png
지능형로봇,AI 드로잉 로봇 및 오목 로봇 체험,AI 드로잉 로봇 및 오목 로봇 체험,현장접수,초등학생 이상,20,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,Booth_robot.png
지능형로봇,ROBO SHOW(4족보행 로봇 및 테미 체험),ROBO SHOW(4족보행 로봇 및 테미 체험),현장접수,초등학생 이상,30,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,Booth_robot.png
